decision_id,episode_id,scenario_id,step_index,timestamp,region_id,robot_region,battery_soc,distance,estimated_move_time,estimated_energy,switch_cost,scene_weight,reachable,counterfactual_risk_gain
scenario_1_kitchen_pm_spike_ep00_d045,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,45,2026-08-01T09:22:30,B,A,90.40000000000008,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,62.30477756500136
scenario_1_kitchen_pm_spike_ep00_d045,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,45,2026-08-01T09:22:30,C,A,90.40000000000008,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,552.8937515977924
scenario_1_kitchen_pm_spike_ep00_d045,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,45,2026-08-01T09:22:30,D,A,90.40000000000008,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,67.427119977335
scenario_1_kitchen_pm_spike_ep00_d048,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,48,2026-08-01T09:24:00,A,C,90.16000000000008,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,78.69683139496055
scenario_1_kitchen_pm_spike_ep00_d048,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,48,2026-08-01T09:24:00,B,C,90.16000000000008,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,64.9336878421584
scenario_1_kitchen_pm_spike_ep00_d048,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,48,2026-08-01T09:24:00,C,C,90.16000000000008,0.0,0.0,0.0,0.0,1.0,1,524.2681069334691
scenario_1_kitchen_pm_spike_ep00_d048,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,48,2026-08-01T09:24:00,D,C,90.16000000000008,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,69.73673226237725
scenario_1_kitchen_pm_spike_ep00_d051,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,51,2026-08-01T09:25:30,A,D,89.92000000000009,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,80.09500412836155
scenario_1_kitchen_pm_spike_ep00_d051,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,51,2026-08-01T09:25:30,B,D,89.92000000000009,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,67.20481596082755
scenario_1_kitchen_pm_spike_ep00_d051,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,51,2026-08-01T09:25:30,C,D,89.92000000000009,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,497.27784521817796
scenario_1_kitchen_pm_spike_ep00_d051,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,51,2026-08-01T09:25:30,D,D,89.92000000000009,0.0,0.0,0.0,0.0,1.0,1,71.7085296939033
